id,content,user_id,article_id,created_at,updated_at
85,"10年以上auの携帯電話を使っている筆者は昨年12月、auのiPhone 5に切り替えた。補償するという意味合いが強かった。KDDIは公式的には消費者への補償はしないと説明していたのに、実際の現場では強くクレームを付ける消費者には補償対応している。まさに「二枚舌営業」なのである。今度は取材として広報部に「二枚舌ではないか」と聞くと、広報部長は「公式見解と個別の顧客対応は違う」と説明、「二枚舌営業」を自ら認めた。大株主のトヨタには特別対応?。これらの疑問についてKDDI広報に聞くと、トヨタへは「特別対応」しているという。トヨタはKDDIの大株主であり、業務用携帯はauを使っているからであろう。",6,131,"2013-10-01 23:41:13.587744","2013-10-01 23:41:13.587744"
89,"そのような状況下、株式会社帝国データバンクは今回初めて、国内の大学発ベンチャー企業536社について分析した。その結果、大学発ベンチャー企業の大半が2000年以降に設立され、その半数以上が現時点で事業の黒字化を成功させていることが判明した。大学発ベンチャー企業の設立時期としては、大学等技術移転促進法(TLO法)が施行された1998年以降増え始め、小泉政権下で実施された「大学発ベンチャー1000社計画」の対象期間であった2003年に最多となった。その一方、15社が既に株式上場を果たしている。このように生存競争を勝ち抜いた大学発ベンチャーは、一定の成果・業績を挙げている。",6,136,"2013-10-02 23:41:06.305632","2013-10-02 23:41:06.305632"
90,"いわゆるガラケー(フィーチャーフォン)の所有率は46%で、スマートフォンが初めて従来型の携帯を上回った。iPadなどタブレット端末の所有率は、前回調査より3.3ポイント増の14.5%だった。所有率の伸びを牽引したのは、女性と10代だ。男女別では、女性の伸び率が男性を5ポイント近く上回った。年齢別では15～19歳のティーン層が大きく伸び、5回目の調査で初めて20代のスマートフォン所有率を上回った。15～19歳の女子のうち実に83%、男子は71%がスマホユーザーであり、それぞれ20代より約5ポイントも高い。(編集担当:北条かや)。",6,135,"2013-10-02 23:41:08.286702","2013-10-02 23:41:08.286702"
91,"自民党の石破茂幹事長は1日の記者会見で「ある地域で金融機関が融資にあたって従業員の給料をあげるようなことをしている会社には融資をしないとか、融資を引き揚げるとかの例を聞いたという発言が党の役員会であった」と語った。そのうえで石破幹事長は今回の消費税引き上げと反動対策としての経済政策について、党青年局や女性局を中心に国民運動的な展開をするほか、各選挙区選出の国会議員が地元で街頭に立つなどして説明する、地域ブロック別会議などを利用し、商工会議所や商工会、JAなど、いろいろな関係者らに説明するなど「党として国民運動を展開する」ことを役員間で共有したとした。 (編集担当:森高龍二)。",6,134,"2013-10-02 23:41:08.639661","2013-10-02 23:41:08.639661"
92,"初のWiMAX2+対応モバイルルータ Wi-Fi WALKER WiMAX2+ HWD14発表。WiMAX / 4G LTEとの3方式対応。By。0。au がモバイルルータの新製品 Wi-Fi WALKER WiMAX2+ HWD14を発表しました。速度制限なし。ハイスピードモード:通信方式はWiMAX とWiMAX2+。WiMAXは速度制限なし。ハイスピードプラスエリアモード:通信方式はWiMAX2+と4G LTE。そのため「WiMAX2+ フラット for DATA(4年)」と同時に契約した場合は最大49か月間、ハイスピードモードのWiMAX2+ を速度制限なしで利用できます。",6,133,"2013-10-02 23:41:09.362289","2013-10-02 23:41:09.362289"
93,"8割近い人がスマートフォン専用サイトの必要性を感じていない。スマホ専用サイトは本当に必要か?。スマートフォン専用サイト	39.0%。PCサイト	45.0%。この結果からも、必ずしもスマートフォン専用サイトが。8割近い人がスマートフォン専用サイトの必要性を感じていないことが判明。スマホサイト作成の最大の目的は、スマホサイトを利用して売り上げを上げる。当然ですが、デザインやUIに優れたスマホサイトを作成するには料金がかかります。そのような場合は、スマホサイト作成後に必ずアクセスを集めるための広告費用が必要になります。その2点のコストは、スマホサイト作成段階から必ず含んでおくべきです。",6,132,"2013-10-02 23:41:10.768071","2013-10-02 23:41:10.768071"
94,"写真拡大。2013年8月に米国で試走されたホンダの新型「NSX」(ホンダ提供)。新型フィットHVが好調のホンダに、新型スポーツカーへの期待が高まっている。発売前の事前受注台数は2万5000台。こうした新型フィットの勢いを背景に、ホンダの新型スポーツカーへの期待感も大きく膨らんでいるようだ。NSXはホンダが1990年に発売した高性能スポーツカー。「S2000」の発売、「予定はない」というが…現在生産を中止している、もう一方のスポーツカー、ホンダ「S2000」への期待も高まるばかり。またS2000の後継として「新型NSX スモール版」が計画されている、との推測もみられる。",6,139,"2013-10-03 15:37:01.509377","2013-10-03 15:37:01.509377"
95,"デベロッパー向けに情報発信をしている「Dr. Dobb's Journal」が、この1年に出版されたIT系書籍の中から優れた本を選ぶ「Jolt Awards」が今年も発表されました。選ばれた書籍を見てみると、まずNoSQLの書籍が入っていることにやや驚きます。しかも著者の1人はあのMartin Fowler氏です。また、5冊目のリーンUXもチームによる開発について触れられているようです。そのほか、テキスト処理、.NETにおける依存性注入と、どれを見ても濃いテーマが並んでいます。(以下の各書籍の紹介は、Amazonでの紹介をざっくり訳したものです)。Jolt Awardsを受賞した5冊の本。",6,137,"2013-10-03 15:37:01.730745","2013-10-03 15:37:01.730745"
96,"　自民党の石破茂幹事長は1日の記者会見で「ある地域で金融機関が融資にあたって従業員の給料をあげるようなことをしている会社には融資をしないとか、融資を引き揚げるとかの例を聞いたという発言が党の役員会であった」と語った。石破幹事長は「こうした問題を法規制できない」とも語り、限界を浮かび上がらせている。
　石破幹事長は、「目的はいかにして経済を成長させ、デフレを脱却し、賃金をあげ、設備投資を促進するかということであり、政府与党一体となってやることで、その経験を糧にしていかねばばらない」と述べた。",1,134,"2013-10-03 22:17:42.013829","2013-10-03 22:17:57.671747"
97,"業績不振のグリー <3632> が、大阪オフィスの閉鎖に続き、初の希望退職実施にも踏み切る。募集人員は、単体従業員の1割強に当たる約200名。 グリーには退職金制度が存在しない。グリーは今回の希望退職に伴い、社員に支払う特別転職支援金と再就職の斡旋費用などを合わせ、会計上11億円の引当金を積む。2013年7〜9月期に特別損失として計上する予定だ。単体従業員数の急膨張が裏目に。希望退職関連とは別に、ソフトウェア資産の減損処理により、30億円程度の特別損失を計上する見通しだ。6月末時点の単体従業員数はDeNAが1074名(連結2054名)に対し、グリーは1762名(連結2364名)。",6,141,"2013-10-03 23:41:05.562869","2013-10-03 23:41:05.562869"
